t,v_swsamp
 0.00000E+00 , 0.00000E+00 
 9.56611E-09 , 0.00000E+00 
 9.56614E-09 , 9.00000E-01 
 3.45564E-08 , 9.00000E-01 
 3.45564E-08 , 6.16298E-33 
 1.09561E-07 , 0.00000E+00 
 1.09561E-07 , 9.00000E-01 
 1.34553E-07 , 9.00000E-01 
 1.34553E-07 , 2.77334E-32 
 2.09562E-07 , 0.00000E+00 
 2.09562E-07 , 9.00000E-01 
 2.34549E-07 , 9.00000E-01 
 2.34549E-07 ,-3.71684E-14 
 3.09553E-07 , 0.00000E+00 
 3.09554E-07 , 9.00000E-01 
 3.34549E-07 , 9.00000E-01 
 3.34549E-07 ,-2.52435E-29 
 4.09553E-07 , 0.00000E+00 
 4.09554E-07 , 9.00000E-01 
 4.34552E-07 , 9.00000E-01 
 4.34552E-07 , 1.38840E-28 
 5.09563E-07 , 0.00000E+00 
 5.09563E-07 , 9.00000E-01 
 5.34552E-07 , 9.00000E-01 
 5.34552E-07 ,-5.91646E-31 
 6.09563E-07 , 0.00000E+00 
 6.09563E-07 , 9.00000E-01 
 6.34552E-07 , 9.00000E-01 
 6.34552E-07 , 2.75857E-13 
 7.06889E-07 , 0.00000E+00 
 7.09563E-07 , 0.00000E+00 
 7.09563E-07 , 9.00000E-01 
 7.34552E-07 , 9.00000E-01 
 7.34552E-07 ,-6.76242E-23 
 8.09563E-07 , 0.00000E+00 
 8.09563E-07 , 9.00000E-01 
 8.34552E-07 , 9.00000E-01 
 8.34552E-07 ,-1.97215E-31 
 9.09563E-07 , 0.00000E+00 
 9.09563E-07 , 9.00000E-01 
 9.34552E-07 , 9.00000E-01 
 9.34552E-07 , 2.27192E-28 
 1.00956E-06 , 0.00000E+00 
 1.00956E-06 , 9.00000E-01 
 1.03455E-06 , 9.00000E-01 
 1.03455E-06 ,-2.01948E-28 
 1.10956E-06 , 0.00000E+00 
 1.10956E-06 , 9.00000E-01 
 1.13455E-06 , 9.00000E-01 
 1.13455E-06 , 6.56332E-28 
 1.20956E-06 , 0.00000E+00 
 1.20956E-06 , 9.00000E-01 
 1.23455E-06 , 9.00000E-01 
 1.23455E-06 , 1.12780E-20 
 1.30956E-06 , 0.00000E+00 
 1.30956E-06 , 9.00000E-01 
 1.33455E-06 , 9.00000E-01 
 1.33455E-06 , 2.85575E-20 
 1.40956E-06 , 0.00000E+00 
 1.40956E-06 , 9.00000E-01 
 1.43455E-06 , 9.00000E-01 
 1.43455E-06 ,-6.16298E-33 
 1.50956E-06 , 0.00000E+00 
 1.50956E-06 , 9.00000E-01 
 1.53455E-06 , 9.00000E-01 
 1.53455E-06 , 2.73238E-13 
 1.60956E-06 , 0.00000E+00 
 1.60956E-06 , 9.00000E-01 
 1.63455E-06 , 9.00000E-01 
 1.63455E-06 , 1.54074E-33 
 1.70956E-06 , 0.00000E+00 
 1.70956E-06 , 9.00000E-01 
 1.73455E-06 , 9.00000E-01 
 1.73455E-06 , 1.73224E-19 
 1.80956E-06 , 0.00000E+00 
 1.80956E-06 , 9.00000E-01 
 1.83455E-06 , 9.00000E-01 
 1.83455E-06 ,-1.54074E-33 
 1.90956E-06 , 0.00000E+00 
 1.90956E-06 , 9.00000E-01 
 1.93455E-06 , 9.00000E-01 
 1.93455E-06 ,-6.16298E-33 
 2.00956E-06 , 0.00000E+00 
 2.00956E-06 , 9.00000E-01 
 2.03455E-06 , 9.00000E-01 
 2.03455E-06 , 3.08149E-33 
 2.10956E-06 , 0.00000E+00 
 2.10956E-06 , 9.00000E-01 
 2.13455E-06 , 9.00000E-01 
 2.13455E-06 , 6.16298E-33 
