t,vcin_pseudo,vcip_pseudo
 0.00000E+00 , 6.00000E-01 , 6.00000E-01 
 5.40849E-07 , 2.89087E-01 , 9.60914E-01 
 7.72102E-07 , 6.45152E-01 , 6.07171E-01 
 1.02239E-06 , 2.32295E-01 , 9.67705E-01 
 1.27210E-06 , 6.06131E-01 , 6.43885E-01 
 1.54710E-06 , 6.41932E-01 , 6.08067E-01 
 1.80958E-06 , 6.25605E-01 , 5.90946E-01 
 2.07210E-06 , 6.22789E-01 , 6.27213E-01 
 2.34085E-06 , 8.79696E-01 , 5.18685E-01 
 2.57210E-06 , 6.10102E-01 , 6.43709E-01 
 2.83455E-06 , 9.28093E-01 , 3.13464E-01 
 3.09085E-06 , 6.23793E-01 , 6.26234E-01 
 3.37205E-06 , 6.14337E-01 , 6.36386E-01 
 3.64085E-06 , 6.66407E-01 , 7.31974E-01 
 3.89085E-06 , 6.24926E-01 , 6.25174E-01 
 4.14710E-06 , 5.40025E-01 , 7.47514E-01 
 4.37835E-06 , 6.25397E-01 , 6.24620E-01 
 4.65335E-06 , 6.54435E-01 , 5.95563E-01 
 4.93455E-06 , 6.05165E-01 , 6.35651E-01 
 5.17835E-06 , 6.23099E-01 , 6.27071E-01 
 5.45335E-06 , 6.37457E-01 , 6.12544E-01 
 5.70961E-06 , 6.24392E-01 , 6.25533E-01 
 5.94710E-06 , 7.83283E-01 , 5.55405E-01 
 6.18462E-06 , 6.26042E-01 , 6.23955E-01 
 6.46585E-06 , 6.12900E-01 , 6.37126E-01 
 6.74085E-06 , 7.41418E-01 , 5.32005E-01 
 7.00961E-06 , 6.24707E-01 , 6.25488E-01 
 7.25337E-06 , 6.07598E-01 , 6.42400E-01 
 7.50961E-06 , 6.24466E-01 , 6.25501E-01 
 7.75335E-06 , 5.93511E-01 , 6.56488E-01 
 8.02313E-06 , 4.29299E-01 , 7.70701E-01 
 8.28460E-06 , 6.24972E-01 , 6.25925E-01 
 8.55960E-06 , 6.65382E-01 , 5.84608E-01 
 8.83455E-06 , 9.16517E-01 , 2.13705E-01 
 9.06585E-06 , 6.20376E-01 , 6.45335E-01 
 9.30965E-06 , 9.59141E-01 , 2.40869E-01 
 9.56585E-06 , 6.32120E-01 , 6.17903E-01 
 9.85335E-06 , 6.19426E-01 , 6.30532E-01 
 1.01096E-05 , 4.60199E-01 , 7.40438E-01 
 1.03783E-05 , 6.29988E-01 , 6.20006E-01 
 1.06409E-05 , 4.37258E-01 , 8.12742E-01 
 1.08721E-05 , 6.32366E-01 , 6.16921E-01 
 1.11408E-05 , 6.19215E-01 , 7.92347E-01 
 1.14096E-05 , 4.35794E-01 , 6.82269E-01 
 1.16658E-05 , 6.28380E-01 , 6.21524E-01 
 1.19471E-05 , 6.73228E-01 , 6.64433E-01 
 1.22096E-05 , 6.24677E-01 , 6.25555E-01 
 1.24471E-05 , 7.40588E-01 , 5.39972E-01 
 1.26788E-05 , 6.23934E-01 , 6.26042E-01 
 1.29534E-05 , 6.83483E-01 , 5.66527E-01 
 1.32408E-05 , 9.06587E-01 , 5.39108E-01 
 1.34846E-05 , 6.25685E-01 , 6.24447E-01 
 1.37534E-05 , 6.44313E-01 , 6.05616E-01 
 1.40096E-05 , 2.15169E-01 , 9.98196E-01 
 1.42533E-05 , 6.34988E-01 , 6.60627E-01 
 1.45096E-05 , 3.53043E-01 , 8.47051E-01 
 1.47784E-05 , 6.25205E-01 , 6.24592E-01 
 1.50471E-05 , 6.47947E-01 , 6.02051E-01 
 1.53345E-05 , 8.71851E-01 , 2.55950E-01 
 1.55661E-05 , 6.15300E-01 , 6.34697E-01 
 1.58325E-05 , 9.80646E-01 , 2.19354E-01 
 1.60658E-05 , 6.45267E-01 , 6.04707E-01 
 1.63408E-05 , 5.78306E-01 , 7.10835E-01 
 1.66096E-05 , 6.54584E-01 , 6.28875E-01 
 1.68658E-05 , 6.11457E-01 , 6.38513E-01 
 1.71408E-05 , 5.11245E-01 , 8.40572E-01 
 1.73721E-05 , 6.29977E-01 , 6.14994E-01 
 1.76345E-05 , 2.60077E-01 , 9.30837E-01 
 1.78784E-05 , 6.25441E-01 , 6.24499E-01 
 1.81596E-05 , 6.50048E-01 , 5.99908E-01 
 1.84345E-05 , 7.91967E-01 , 4.08033E-01 
 1.86846E-05 , 6.24648E-01 , 6.25349E-01 
 1.89471E-05 , 7.74946E-01 , 5.47303E-01 
 1.91783E-05 , 6.46326E-01 , 6.03650E-01 
 1.94409E-05 , 6.95074E-01 , 5.67094E-01 
 1.97096E-05 , 7.11117E-01 , 4.80683E-01 
 1.99658E-05 , 6.31613E-01 , 6.18258E-01 
 2.02409E-05 , 5.52843E-01 , 7.13884E-01 
 2.04846E-05 , 6.25337E-01 , 6.24721E-01 
 2.07409E-05 , 4.35701E-01 , 8.14310E-01 
 2.09784E-05 , 6.22718E-01 , 6.27321E-01 
 2.12534E-05 , 5.99838E-01 , 6.50173E-01 
 2.15346E-05 , 6.72643E-01 , 5.77338E-01 
 2.17909E-05 , 6.25062E-01 , 6.25034E-01 
 2.20596E-05 , 6.57652E-01 , 5.92346E-01 
 2.23096E-05 , 1.00152E+00 , 2.13140E-01 
 2.25533E-05 , 6.28289E-01 , 6.31990E-01 
 2.28096E-05 , 8.40137E-01 , 3.68043E-01 
 2.30783E-05 , 6.27225E-01 , 6.22728E-01 
 2.33413E-05 , 6.70021E-01 , 5.79979E-01 
 2.36097E-05 , 2.84200E-01 , 9.15806E-01 
 2.38596E-05 , 6.14213E-01 , 6.35783E-01 
 2.41096E-05 , 2.06357E-01 , 9.78662E-01 
 2.43596E-05 , 6.08526E-01 , 6.41477E-01 
 2.46409E-05 , 7.37603E-01 , 5.44992E-01 
 2.49096E-05 , 6.53161E-01 , 4.83500E-01 
 2.51783E-05 , 6.34196E-01 , 6.15949E-01 
 2.54409E-05 , 8.00744E-01 , 4.49545E-01 
 2.56721E-05 , 6.25342E-01 , 6.24646E-01 
 2.59408E-05 , 8.67665E-01 , 6.32272E-01 
 2.61846E-05 , 6.25140E-01 , 6.24968E-01 
 2.64658E-05 , 6.18199E-01 , 6.31914E-01 
 2.67408E-05 , 4.06154E-01 , 8.43862E-01 
 2.69846E-05 , 6.26268E-01 , 6.23859E-01 
 2.72471E-05 , 4.93742E-01 , 8.18497E-01 
 2.74783E-05 , 6.29801E-01 , 6.20125E-01 
 2.77471E-05 , 6.82165E-01 , 6.55496E-01 
 2.80346E-05 , 5.83919E-01 , 6.48273E-01 
 2.82846E-05 , 6.18401E-01 , 6.31732E-01 
 2.85551E-05 , 5.76793E-01 , 6.73205E-01 
 2.88096E-05 , 9.90552E-01 , 2.18140E-01 
 2.90534E-05 , 6.54021E-01 , 5.94037E-01 
 2.93096E-05 , 9.10321E-01 , 2.94231E-01 
 2.95721E-05 , 6.19792E-01 , 6.30246E-01 
 2.98409E-05 , 7.53381E-01 , 5.10873E-01 
 3.01096E-05 , 3.67387E-01 , 7.95196E-01 
 3.03596E-05 , 6.56030E-01 , 6.00508E-01 
 3.06096E-05 , 1.66880E-01 , 9.55251E-01 
 3.08533E-05 , 6.65786E-01 , 6.49693E-01 
 3.11345E-05 , 4.21774E-01 , 7.78226E-01 
 3.13909E-05 , 6.25768E-01 , 6.24648E-01 
 3.16658E-05 , 6.25670E-01 , 6.24313E-01 
 3.19408E-05 , 9.68334E-01 , 2.81669E-01 
 3.21721E-05 , 6.11344E-01 , 6.33627E-01 
 3.24345E-05 , 9.58402E-01 , 2.41598E-01 
 3.26721E-05 , 6.25974E-01 , 6.24066E-01 
 3.29471E-05 , 5.97995E-01 , 6.52003E-01 
 3.32096E-05 , 6.42326E-01 , 6.25989E-01 
 3.34658E-05 , 6.10391E-01 , 6.39632E-01 
 3.37345E-05 , 1.81058E-01 , 9.49354E-01 
 3.39596E-05 , 6.09201E-01 , 6.40769E-01 
 3.42165E-05 , 2.93309E-01 , 9.06691E-01 
 3.44783E-05 , 6.22039E-01 , 6.28020E-01 
 3.47596E-05 , 6.52725E-01 , 5.97232E-01 
 3.50408E-05 , 7.65867E-01 , 6.77120E-01 
 3.52885E-05 , 6.25004E-01 , 6.25055E-01 
 3.55471E-05 , 8.10317E-01 , 5.27344E-01 
