freq,db20
 0.000E+00 ,-6.596E+01 
 9.766E+03 ,-6.596E+01 
 1.953E+04 ,-1.061E+02 
 2.930E+04 ,-1.008E+02 
 3.906E+04 ,-1.098E+02 
 4.883E+04 ,-1.040E+02 
 5.859E+04 ,-1.236E+02 
 6.836E+04 ,-1.038E+02 
 7.812E+04 ,-1.071E+02 
 8.789E+04 ,-1.057E+02 
 9.766E+04 ,-1.133E+02 
 1.074E+05 ,-1.018E+02 
 1.172E+05 ,-1.152E+02 
 1.270E+05 ,-1.104E+02 
 1.367E+05 ,-1.063E+02 
 1.465E+05 ,-1.045E+02 
 1.562E+05 ,-1.047E+02 
 1.660E+05 ,-1.003E+02 
 1.758E+05 ,-1.056E+02 
 1.855E+05 ,-1.018E+02 
 1.953E+05 ,-9.787E+01 
 2.051E+05 ,-9.711E+01 
 2.148E+05 ,-9.612E+01 
 2.246E+05 ,-9.709E+01 
 2.344E+05 ,-1.012E+02 
 2.441E+05 ,-1.061E+02 
 2.539E+05 ,-9.999E+01 
 2.637E+05 ,-9.448E+01 
 2.734E+05 ,-9.036E+01 
 2.832E+05 ,-8.640E+01 
 2.930E+05 ,-2.022E+01 
 3.027E+05 ,-1.421E+01 
 3.125E+05 ,-2.021E+01 
 3.223E+05 ,-8.293E+01 
 3.320E+05 ,-9.478E+01 
 3.418E+05 ,-9.451E+01 
 3.516E+05 ,-1.003E+02 
 3.613E+05 ,-1.256E+02 
 3.711E+05 ,-1.068E+02 
 3.809E+05 ,-9.961E+01 
 3.906E+05 ,-1.024E+02 
 4.004E+05 ,-9.427E+01 
 4.102E+05 ,-1.035E+02 
 4.199E+05 ,-1.027E+02 
 4.297E+05 ,-1.068E+02 
 4.395E+05 ,-1.018E+02 
 4.492E+05 ,-1.040E+02 
 4.590E+05 ,-1.109E+02 
 4.688E+05 ,-1.108E+02 
 4.785E+05 ,-1.016E+02 
 4.883E+05 ,-1.099E+02 
 4.980E+05 ,-1.104E+02 
 5.078E+05 ,-1.027E+02 
 5.176E+05 ,-9.814E+01 
 5.273E+05 ,-1.026E+02 
 5.371E+05 ,-1.032E+02 
 5.469E+05 ,-1.012E+02 
 5.566E+05 ,-9.754E+01 
 5.664E+05 ,-9.902E+01 
 5.762E+05 ,-9.866E+01 
 5.859E+05 ,-1.114E+02 
 5.957E+05 ,-1.025E+02 
 6.055E+05 ,-1.006E+02 
 6.152E+05 ,-9.864E+01 
 6.250E+05 ,-1.045E+02 
 6.348E+05 ,-1.143E+02 
 6.445E+05 ,-1.173E+02 
 6.543E+05 ,-1.088E+02 
 6.641E+05 ,-1.126E+02 
 6.738E+05 ,-1.041E+02 
 6.836E+05 ,-1.014E+02 
