D,E
0.0,9.078125
1.0,9.078125
2.0,9.546875
3.0,9.546875
4.0,9.984375
5.0,9.984375
6.0,10.390625
7.0,10.390625
8.0,10.765625
9.0,10.765625
10.0,11.109375
11.0,11.109375
12.0,11.421875
13.0,11.421875
14.0,11.703125
15.0,11.703125
16.0,11.953125
17.0,11.953125
18.0,12.171875
19.0,12.171875
20.0,12.359375
21.0,12.359375
22.0,12.515625
23.0,12.515625
24.0,12.640625
25.0,12.640625
26.0,12.734375
27.0,12.734375
28.0,12.796875
29.0,12.796875
30.0,12.828125
31.0,12.828125
32.0,12.828125
33.0,12.828125
34.0,12.796875
35.0,12.796875
36.0,12.734375
37.0,12.734375
38.0,12.640625
39.0,12.640625
40.0,12.515625
41.0,12.515625
42.0,12.359375
43.0,12.359375
44.0,12.171875
45.0,12.171875
46.0,11.953125
47.0,11.953125
48.0,11.703125
49.0,11.703125
50.0,11.421875
51.0,11.421875
52.0,11.109375
53.0,11.109375
54.0,10.765625
55.0,10.765625
56.0,10.390625
57.0,10.390625
58.0,9.984375
59.0,9.984375
60.0,9.546875
61.0,9.546875
62.0,9.078125
63.0,9.078125
