D,E
0.0,2.65625
1.0,2.65625
2.0,3.125
3.0,3.125
4.0,3.5625
5.0,3.5625
6.0,3.96875
7.0,3.96875
8.0,4.34375
9.0,4.34375
10.0,4.6875
11.0,4.6875
12.0,5.0
13.0,5.0
14.0,5.28125
15.0,5.28125
16.0,5.53125
17.0,5.53125
18.0,5.75
19.0,5.75
20.0,5.9375
21.0,5.9375
22.0,6.09375
23.0,6.09375
24.0,6.21875
25.0,6.21875
26.0,6.3125
27.0,6.3125
28.0,6.375
29.0,6.375
30.0,6.40625
31.0,6.40625
32.0,6.40625
33.0,6.40625
34.0,6.375
35.0,6.375
36.0,6.3125
37.0,6.3125
38.0,6.21875
39.0,6.21875
40.0,6.09375
41.0,6.09375
42.0,5.9375
43.0,5.9375
44.0,5.75
45.0,5.75
46.0,5.53125
47.0,5.53125
48.0,5.28125
49.0,5.28125
50.0,5.0
51.0,5.0
52.0,4.6875
53.0,4.6875
54.0,4.34375
55.0,4.34375
56.0,3.96875
57.0,3.96875
58.0,3.5625
59.0,3.5625
60.0,3.125
61.0,3.125
62.0,2.65625
63.0,2.65625
