D,E
0.0,4.40625
1.0,4.40625
2.0,4.875
3.0,4.875
4.0,4.8125
5.0,4.8125
6.0,5.21875
7.0,5.21875
8.0,5.09375
9.0,5.09375
10.0,5.4375
11.0,5.4375
12.0,5.25
13.0,5.25
14.0,5.53125
15.0,5.53125
16.0,5.28125
17.0,5.28125
18.0,5.5
19.0,5.5
20.0,5.1875
21.0,5.1875
22.0,5.34375
23.0,5.34375
24.0,4.96875
25.0,4.96875
26.0,5.0625
27.0,5.0625
28.0,4.625
29.0,4.625
30.0,4.65625
31.0,4.65625
32.0,4.65625
33.0,4.65625
34.0,4.625
35.0,4.625
36.0,5.0625
37.0,5.0625
38.0,4.96875
39.0,4.96875
40.0,5.34375
41.0,5.34375
42.0,5.1875
43.0,5.1875
44.0,5.5
45.0,5.5
46.0,5.28125
47.0,5.28125
48.0,5.53125
49.0,5.53125
50.0,5.25
51.0,5.25
52.0,5.4375
53.0,5.4375
54.0,5.09375
55.0,5.09375
56.0,5.21875
57.0,5.21875
58.0,4.8125
59.0,4.8125
60.0,4.875
61.0,4.875
62.0,4.40625
63.0,4.40625
