D,E
0.0,9.15625
1.0,9.15625
2.0,9.625
3.0,9.625
4.0,10.0625
5.0,10.0625
6.0,10.46875
7.0,10.46875
8.0,10.84375
9.0,10.84375
10.0,11.1875
11.0,11.1875
12.0,11.5
13.0,11.5
14.0,11.78125
15.0,11.78125
16.0,12.03125
17.0,12.03125
18.0,12.25
19.0,12.25
20.0,12.4375
21.0,12.4375
22.0,12.59375
23.0,12.59375
24.0,12.71875
25.0,12.71875
26.0,12.8125
27.0,12.8125
28.0,12.875
29.0,12.875
30.0,12.90625
31.0,12.90625
32.0,12.90625
33.0,12.90625
34.0,12.875
35.0,12.875
36.0,12.8125
37.0,12.8125
38.0,12.71875
39.0,12.71875
40.0,12.59375
41.0,12.59375
42.0,12.4375
43.0,12.4375
44.0,12.25
45.0,12.25
46.0,12.03125
47.0,12.03125
48.0,11.78125
49.0,11.78125
50.0,11.5
51.0,11.5
52.0,11.1875
53.0,11.1875
54.0,10.84375
55.0,10.84375
56.0,10.46875
57.0,10.46875
58.0,10.0625
59.0,10.0625
60.0,9.625
61.0,9.625
62.0,9.15625
63.0,9.15625
