D,E
0.0,1.078125
1.0,1.078125
2.0,1.546875
3.0,1.546875
4.0,1.984375
5.0,1.984375
6.0,2.390625
7.0,2.390625
8.0,2.765625
9.0,2.765625
10.0,3.109375
11.0,3.109375
12.0,3.421875
13.0,3.421875
14.0,3.703125
15.0,3.703125
16.0,3.953125
17.0,3.953125
18.0,4.171875
19.0,4.171875
20.0,4.359375
21.0,4.359375
22.0,4.515625
23.0,4.515625
24.0,4.640625
25.0,4.640625
26.0,4.734375
27.0,4.734375
28.0,4.796875
29.0,4.796875
30.0,4.828125
31.0,4.828125
32.0,4.828125
33.0,4.828125
34.0,4.796875
35.0,4.796875
36.0,4.734375
37.0,4.734375
38.0,4.640625
39.0,4.640625
40.0,4.515625
41.0,4.515625
42.0,4.359375
43.0,4.359375
44.0,4.171875
45.0,4.171875
46.0,3.953125
47.0,3.953125
48.0,3.703125
49.0,3.703125
50.0,3.421875
51.0,3.421875
52.0,3.109375
53.0,3.109375
54.0,2.765625
55.0,2.765625
56.0,2.390625
57.0,2.390625
58.0,1.984375
59.0,1.984375
60.0,1.546875
61.0,1.546875
62.0,1.078125
63.0,1.078125
