D,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan11,Yuan15,S1,S2,S3,S4,S5,Sanyal_98,Li
0.0,42.666015625,21.0830078125,149.0830078125,21.3330078125,85.3330078125,682.666015625,21.3330078125,-21.333984375,42.666015625,10.416015625,10.416015625,74.416015625,42.416015625,21.0830078125,-5.333984375
1.0,42.666015625,21.0830078125,149.0830078125,21.3330078125,85.3330078125,682.666015625,21.3330078125,-21.333984375,42.666015625,10.416015625,10.416015625,74.416015625,42.416015625,21.0830078125,-5.333984375
2.0,42.9140625,21.5810546875,149.5810546875,21.5810546875,86.3291015625,686.658203125,21.8291015625,-20.8359375,43.1640625,10.9140625,10.66455078125,74.66455078125,42.66455078125,21.5810546875,-4.8359375
3.0,42.9140625,21.5810546875,149.5810546875,21.5810546875,86.3291015625,686.658203125,21.8291015625,-20.8359375,43.1640625,10.9140625,10.66455078125,74.66455078125,42.66455078125,21.5810546875,-4.8359375
4.0,43.41015625,22.0771484375,150.0771484375,21.8271484375,87.3212890625,690.642578125,22.3212890625,-20.33984375,43.66015625,10.91015625,10.66064453125,74.66064453125,42.66064453125,21.5771484375,-4.33984375
5.0,43.41015625,22.0771484375,150.0771484375,21.8271484375,87.3212890625,690.642578125,22.3212890625,-20.33984375,43.66015625,10.91015625,10.66064453125,74.66064453125,42.66064453125,21.5771484375,-4.33984375
6.0,44.154296875,22.5712890625,150.5712890625,22.0712890625,88.3095703125,694.619140625,22.8095703125,-19.845703125,44.154296875,11.404296875,10.90478515625,74.90478515625,42.90478515625,22.0712890625,-3.845703125
7.0,44.154296875,22.5712890625,150.5712890625,22.0712890625,88.3095703125,694.619140625,22.8095703125,-19.845703125,44.154296875,11.404296875,10.90478515625,74.90478515625,42.90478515625,22.0712890625,-3.845703125
8.0,44.646484375,23.0634765625,151.0634765625,22.3134765625,89.2939453125,698.587890625,23.2939453125,-19.353515625,44.646484375,11.396484375,10.64697265625,74.64697265625,42.64697265625,21.5634765625,-3.353515625
9.0,44.646484375,23.0634765625,151.0634765625,22.3134765625,89.2939453125,698.587890625,23.2939453125,-19.353515625,44.646484375,11.396484375,10.64697265625,74.64697265625,42.64697265625,21.5634765625,-3.353515625
10.0,44.88671875,23.5537109375,151.5537109375,22.5537109375,90.2744140625,702.548828125,23.7744140625,-18.86328125,45.13671875,11.88671875,10.88720703125,74.88720703125,42.88720703125,22.0537109375,-2.86328125
11.0,44.88671875,23.5537109375,151.5537109375,22.5537109375,90.2744140625,702.548828125,23.7744140625,-18.86328125,45.13671875,11.88671875,10.88720703125,74.88720703125,42.88720703125,22.0537109375,-2.86328125
12.0,45.375,24.0419921875,152.0419921875,22.7919921875,91.2509765625,706.501953125,24.2509765625,-18.375,45.625,11.875,11.12548828125,75.12548828125,43.12548828125,22.5419921875,-2.375
13.0,45.375,24.0419921875,152.0419921875,22.7919921875,91.2509765625,706.501953125,24.2509765625,-18.375,45.625,11.875,11.12548828125,75.12548828125,43.12548828125,22.5419921875,-2.375
14.0,46.111328125,24.5283203125,152.5283203125,23.0283203125,92.2236328125,710.447265625,24.7236328125,-17.888671875,46.111328125,12.361328125,11.36181640625,75.36181640625,43.36181640625,23.0283203125,-1.888671875
15.0,46.111328125,24.5283203125,152.5283203125,23.0283203125,92.2236328125,710.447265625,24.7236328125,-17.888671875,46.111328125,12.361328125,11.36181640625,75.36181640625,43.36181640625,23.0283203125,-1.888671875
16.0,46.595703125,25.0126953125,153.0126953125,23.2626953125,93.1923828125,714.384765625,25.1923828125,-17.404296875,46.595703125,12.345703125,10.59619140625,74.59619140625,42.59619140625,21.5126953125,-1.404296875
17.0,46.595703125,25.0126953125,153.0126953125,23.2626953125,93.1923828125,714.384765625,25.1923828125,-17.404296875,46.595703125,12.345703125,10.59619140625,74.59619140625,42.59619140625,21.5126953125,-1.404296875
18.0,46.828125,25.4951171875,153.4951171875,23.4951171875,94.1572265625,718.314453125,25.6572265625,-16.921875,47.078125,12.828125,10.82861328125,74.82861328125,42.82861328125,21.9951171875,-0.921875
19.0,46.828125,25.4951171875,153.4951171875,23.4951171875,94.1572265625,718.314453125,25.6572265625,-16.921875,47.078125,12.828125,10.82861328125,74.82861328125,42.82861328125,21.9951171875,-0.921875
20.0,47.30859375,25.9755859375,153.9755859375,23.7255859375,95.1181640625,722.236328125,26.1181640625,-16.44140625,47.55859375,12.80859375,11.05908203125,75.05908203125,43.05908203125,22.4755859375,-0.44140625
21.0,47.30859375,25.9755859375,153.9755859375,23.7255859375,95.1181640625,722.236328125,26.1181640625,-16.44140625,47.55859375,12.80859375,11.05908203125,75.05908203125,43.05908203125,22.4755859375,-0.44140625
22.0,48.037109375,26.4541015625,154.4541015625,23.9541015625,96.0751953125,726.150390625,26.5751953125,-15.962890625,48.037109375,13.287109375,11.28759765625,75.28759765625,43.28759765625,22.9541015625,0.037109375
23.0,48.037109375,26.4541015625,154.4541015625,23.9541015625,96.0751953125,726.150390625,26.5751953125,-15.962890625,48.037109375,13.287109375,11.28759765625,75.28759765625,43.28759765625,22.9541015625,0.037109375
24.0,48.513671875,26.9306640625,154.9306640625,24.1806640625,97.0283203125,730.056640625,27.0283203125,-15.486328125,48.513671875,13.263671875,11.51416015625,75.51416015625,43.51416015625,23.4306640625,0.513671875
25.0,48.513671875,26.9306640625,154.9306640625,24.1806640625,97.0283203125,730.056640625,27.0283203125,-15.486328125,48.513671875,13.263671875,11.51416015625,75.51416015625,43.51416015625,23.4306640625,0.513671875
26.0,48.73828125,27.4052734375,155.4052734375,24.4052734375,97.9775390625,733.955078125,27.4775390625,-15.01171875,48.98828125,13.73828125,11.73876953125,75.73876953125,43.73876953125,23.9052734375,0.98828125
27.0,48.73828125,27.4052734375,155.4052734375,24.4052734375,97.9775390625,733.955078125,27.4775390625,-15.01171875,48.98828125,13.73828125,11.73876953125,75.73876953125,43.73876953125,23.9052734375,0.98828125
28.0,49.2109375,27.8779296875,155.8779296875,24.6279296875,98.9228515625,737.845703125,27.9228515625,-14.5390625,49.4609375,13.7109375,11.96142578125,75.96142578125,43.96142578125,24.3779296875,1.4609375
29.0,49.2109375,27.8779296875,155.8779296875,24.6279296875,98.9228515625,737.845703125,27.9228515625,-14.5390625,49.4609375,13.7109375,11.96142578125,75.96142578125,43.96142578125,24.3779296875,1.4609375
30.0,49.931640625,28.3486328125,156.3486328125,24.8486328125,99.8642578125,741.728515625,28.3642578125,-14.068359375,49.931640625,14.181640625,12.18212890625,76.18212890625,44.18212890625,24.8486328125,1.931640625
31.0,49.931640625,28.3486328125,156.3486328125,24.8486328125,99.8642578125,741.728515625,28.3642578125,-14.068359375,49.931640625,14.181640625,12.18212890625,76.18212890625,44.18212890625,24.8486328125,1.931640625
32.0,50.400390625,28.8173828125,156.8173828125,25.0673828125,100.8017578125,745.603515625,28.8017578125,-13.599609375,50.400390625,14.150390625,10.40087890625,74.40087890625,42.40087890625,21.3173828125,2.400390625
33.0,50.400390625,28.8173828125,156.8173828125,25.0673828125,100.8017578125,745.603515625,28.8017578125,-13.599609375,50.400390625,14.150390625,10.40087890625,74.40087890625,42.40087890625,21.3173828125,2.400390625
34.0,50.6171875,29.2841796875,157.2841796875,25.2841796875,101.7353515625,749.470703125,29.2353515625,-13.1328125,50.8671875,14.6171875,10.61767578125,74.61767578125,42.61767578125,21.7841796875,2.8671875
35.0,50.6171875,29.2841796875,157.2841796875,25.2841796875,101.7353515625,749.470703125,29.2353515625,-13.1328125,50.8671875,14.6171875,10.61767578125,74.61767578125,42.61767578125,21.7841796875,2.8671875
36.0,51.08203125,29.7490234375,157.7490234375,25.4990234375,102.6650390625,753.330078125,29.6650390625,-12.66796875,51.33203125,14.58203125,10.83251953125,74.83251953125,42.83251953125,22.2490234375,3.33203125
37.0,51.08203125,29.7490234375,157.7490234375,25.4990234375,102.6650390625,753.330078125,29.6650390625,-12.66796875,51.33203125,14.58203125,10.83251953125,74.83251953125,42.83251953125,22.2490234375,3.33203125
38.0,51.794921875,30.2119140625,158.2119140625,25.7119140625,103.5908203125,757.181640625,30.0908203125,-12.205078125,51.794921875,15.044921875,11.04541015625,75.04541015625,43.04541015625,22.7119140625,3.794921875
39.0,51.794921875,30.2119140625,158.2119140625,25.7119140625,103.5908203125,757.181640625,30.0908203125,-12.205078125,51.794921875,15.044921875,11.04541015625,75.04541015625,43.04541015625,22.7119140625,3.794921875
40.0,52.255859375,30.6728515625,158.6728515625,25.9228515625,104.5126953125,761.025390625,30.5126953125,-11.744140625,52.255859375,15.005859375,11.25634765625,75.25634765625,43.25634765625,23.1728515625,4.255859375
41.0,52.255859375,30.6728515625,158.6728515625,25.9228515625,104.5126953125,761.025390625,30.5126953125,-11.744140625,52.255859375,15.005859375,11.25634765625,75.25634765625,43.25634765625,23.1728515625,4.255859375
42.0,52.46484375,31.1318359375,159.1318359375,26.1318359375,105.4306640625,764.861328125,30.9306640625,-11.28515625,52.71484375,15.46484375,11.46533203125,75.46533203125,43.46533203125,23.6318359375,4.71484375
43.0,52.46484375,31.1318359375,159.1318359375,26.1318359375,105.4306640625,764.861328125,30.9306640625,-11.28515625,52.71484375,15.46484375,11.46533203125,75.46533203125,43.46533203125,23.6318359375,4.71484375
44.0,52.921875,31.5888671875,159.5888671875,26.3388671875,106.3447265625,768.689453125,31.3447265625,-10.828125,53.171875,15.421875,11.67236328125,75.67236328125,43.67236328125,24.0888671875,5.171875
45.0,52.921875,31.5888671875,159.5888671875,26.3388671875,106.3447265625,768.689453125,31.3447265625,-10.828125,53.171875,15.421875,11.67236328125,75.67236328125,43.67236328125,24.0888671875,5.171875
46.0,53.626953125,32.0439453125,160.0439453125,26.5439453125,107.2548828125,772.509765625,31.7548828125,-10.373046875,53.626953125,15.876953125,11.87744140625,75.87744140625,43.87744140625,24.5439453125,5.626953125
47.0,53.626953125,32.0439453125,160.0439453125,26.5439453125,107.2548828125,772.509765625,31.7548828125,-10.373046875,53.626953125,15.876953125,11.87744140625,75.87744140625,43.87744140625,24.5439453125,5.626953125
48.0,54.080078125,32.4970703125,160.4970703125,26.7470703125,108.1611328125,776.322265625,32.1611328125,-9.919921875,54.080078125,15.830078125,12.08056640625,76.08056640625,44.08056640625,24.9970703125,6.080078125
49.0,54.080078125,32.4970703125,160.4970703125,26.7470703125,108.1611328125,776.322265625,32.1611328125,-9.919921875,54.080078125,15.830078125,12.08056640625,76.08056640625,44.08056640625,24.9970703125,6.080078125
50.0,54.28125,32.9482421875,160.9482421875,26.9482421875,109.0634765625,780.126953125,32.5634765625,-9.46875,54.53125,16.28125,12.28173828125,76.28173828125,44.28173828125,25.4482421875,6.53125
51.0,54.28125,32.9482421875,160.9482421875,26.9482421875,109.0634765625,780.126953125,32.5634765625,-9.46875,54.53125,16.28125,12.28173828125,76.28173828125,44.28173828125,25.4482421875,6.53125
52.0,54.73046875,33.3974609375,161.3974609375,27.1474609375,109.9619140625,783.923828125,32.9619140625,-9.01953125,54.98046875,16.23046875,12.48095703125,76.48095703125,44.48095703125,25.8974609375,6.98046875
53.0,54.73046875,33.3974609375,161.3974609375,27.1474609375,109.9619140625,783.923828125,32.9619140625,-9.01953125,54.98046875,16.23046875,12.48095703125,76.48095703125,44.48095703125,25.8974609375,6.98046875
54.0,55.427734375,33.8447265625,161.8447265625,27.3447265625,110.8564453125,787.712890625,33.3564453125,-8.572265625,55.427734375,16.677734375,12.67822265625,76.67822265625,44.67822265625,26.3447265625,7.427734375
55.0,55.427734375,33.8447265625,161.8447265625,27.3447265625,110.8564453125,787.712890625,33.3564453125,-8.572265625,55.427734375,16.677734375,12.67822265625,76.67822265625,44.67822265625,26.3447265625,7.427734375
56.0,55.873046875,34.2900390625,162.2900390625,27.5400390625,111.7470703125,791.494140625,33.7470703125,-8.126953125,55.873046875,16.623046875,12.87353515625,76.87353515625,44.87353515625,26.7900390625,7.873046875
57.0,55.873046875,34.2900390625,162.2900390625,27.5400390625,111.7470703125,791.494140625,33.7470703125,-8.126953125,55.873046875,16.623046875,12.87353515625,76.87353515625,44.87353515625,26.7900390625,7.873046875
58.0,56.06640625,34.7333984375,162.7333984375,27.7333984375,112.6337890625,795.267578125,34.1337890625,-7.68359375,56.31640625,17.06640625,13.06689453125,77.06689453125,45.06689453125,27.2333984375,8.31640625
59.0,56.06640625,34.7333984375,162.7333984375,27.7333984375,112.6337890625,795.267578125,34.1337890625,-7.68359375,56.31640625,17.06640625,13.06689453125,77.06689453125,45.06689453125,27.2333984375,8.31640625
60.0,56.5078125,35.1748046875,163.1748046875,27.9248046875,113.5166015625,799.033203125,34.5166015625,-7.2421875,56.7578125,17.0078125,13.25830078125,77.25830078125,45.25830078125,27.6748046875,8.7578125
61.0,56.5078125,35.1748046875,163.1748046875,27.9248046875,113.5166015625,799.033203125,34.5166015625,-7.2421875,56.7578125,17.0078125,13.25830078125,77.25830078125,45.25830078125,27.6748046875,8.7578125
62.0,57.197265625,35.6142578125,163.6142578125,28.1142578125,114.3955078125,802.791015625,34.8955078125,-6.802734375,57.197265625,17.447265625,13.44775390625,77.44775390625,45.44775390625,28.1142578125,9.197265625
63.0,57.197265625,35.6142578125,163.6142578125,28.1142578125,114.3955078125,802.791015625,34.8955078125,-6.802734375,57.197265625,17.447265625,13.44775390625,77.44775390625,45.44775390625,28.1142578125,9.197265625
64.0,57.634765625,36.0517578125,164.0517578125,28.3017578125,115.2705078125,806.541015625,35.2705078125,-6.365234375,57.634765625,17.384765625,9.63525390625,73.63525390625,41.63525390625,20.5517578125,9.634765625
65.0,57.634765625,36.0517578125,164.0517578125,28.3017578125,115.2705078125,806.541015625,35.2705078125,-6.365234375,57.634765625,17.384765625,9.63525390625,73.63525390625,41.63525390625,20.5517578125,9.634765625
66.0,57.8203125,36.4873046875,164.4873046875,28.4873046875,116.1416015625,810.283203125,35.6416015625,-5.9296875,58.0703125,17.8203125,9.82080078125,73.82080078125,41.82080078125,20.9873046875,10.0703125
67.0,57.8203125,36.4873046875,164.4873046875,28.4873046875,116.1416015625,810.283203125,35.6416015625,-5.9296875,58.0703125,17.8203125,9.82080078125,73.82080078125,41.82080078125,20.9873046875,10.0703125
68.0,58.25390625,36.9208984375,164.9208984375,28.6708984375,117.0087890625,814.017578125,36.0087890625,-5.49609375,58.50390625,17.75390625,10.00439453125,74.00439453125,42.00439453125,21.4208984375,10.50390625
69.0,58.25390625,36.9208984375,164.9208984375,28.6708984375,117.0087890625,814.017578125,36.0087890625,-5.49609375,58.50390625,17.75390625,10.00439453125,74.00439453125,42.00439453125,21.4208984375,10.50390625
70.0,58.935546875,37.3525390625,165.3525390625,28.8525390625,117.8720703125,817.744140625,36.3720703125,-5.064453125,58.935546875,18.185546875,10.18603515625,74.18603515625,42.18603515625,21.8525390625,10.935546875
71.0,58.935546875,37.3525390625,165.3525390625,28.8525390625,117.8720703125,817.744140625,36.3720703125,-5.064453125,58.935546875,18.185546875,10.18603515625,74.18603515625,42.18603515625,21.8525390625,10.935546875
72.0,59.365234375,37.7822265625,165.7822265625,29.0322265625,118.7314453125,821.462890625,36.7314453125,-4.634765625,59.365234375,18.115234375,10.36572265625,74.36572265625,42.36572265625,22.2822265625,11.365234375
73.0,59.365234375,37.7822265625,165.7822265625,29.0322265625,118.7314453125,821.462890625,36.7314453125,-4.634765625,59.365234375,18.115234375,10.36572265625,74.36572265625,42.36572265625,22.2822265625,11.365234375
74.0,59.54296875,38.2099609375,166.2099609375,29.2099609375,119.5869140625,825.173828125,37.0869140625,-4.20703125,59.79296875,18.54296875,10.54345703125,74.54345703125,42.54345703125,22.7099609375,11.79296875
75.0,59.54296875,38.2099609375,166.2099609375,29.2099609375,119.5869140625,825.173828125,37.0869140625,-4.20703125,59.79296875,18.54296875,10.54345703125,74.54345703125,42.54345703125,22.7099609375,11.79296875
76.0,59.96875,38.6357421875,166.6357421875,29.3857421875,120.4384765625,828.876953125,37.4384765625,-3.78125,60.21875,18.46875,10.71923828125,74.71923828125,42.71923828125,23.1357421875,12.21875
77.0,59.96875,38.6357421875,166.6357421875,29.3857421875,120.4384765625,828.876953125,37.4384765625,-3.78125,60.21875,18.46875,10.71923828125,74.71923828125,42.71923828125,23.1357421875,12.21875
78.0,60.642578125,39.0595703125,167.0595703125,29.5595703125,121.2861328125,832.572265625,37.7861328125,-3.357421875,60.642578125,18.892578125,10.89306640625,74.89306640625,42.89306640625,23.5595703125,12.642578125
79.0,60.642578125,39.0595703125,167.0595703125,29.5595703125,121.2861328125,832.572265625,37.7861328125,-3.357421875,60.642578125,18.892578125,10.89306640625,74.89306640625,42.89306640625,23.5595703125,12.642578125
80.0,61.064453125,39.4814453125,167.4814453125,29.7314453125,122.1298828125,836.259765625,38.1298828125,-2.935546875,61.064453125,18.814453125,11.06494140625,75.06494140625,43.06494140625,23.9814453125,13.064453125
81.0,61.064453125,39.4814453125,167.4814453125,29.7314453125,122.1298828125,836.259765625,38.1298828125,-2.935546875,61.064453125,18.814453125,11.06494140625,75.06494140625,43.06494140625,23.9814453125,13.064453125
82.0,61.234375,39.9013671875,167.9013671875,29.9013671875,122.9697265625,839.939453125,38.4697265625,-2.515625,61.484375,19.234375,11.23486328125,75.23486328125,43.23486328125,24.4013671875,13.484375
83.0,61.234375,39.9013671875,167.9013671875,29.9013671875,122.9697265625,839.939453125,38.4697265625,-2.515625,61.484375,19.234375,11.23486328125,75.23486328125,43.23486328125,24.4013671875,13.484375
84.0,61.65234375,40.3193359375,168.3193359375,30.0693359375,123.8056640625,843.611328125,38.8056640625,-2.09765625,61.90234375,19.15234375,11.40283203125,75.40283203125,43.40283203125,24.8193359375,13.90234375
85.0,61.65234375,40.3193359375,168.3193359375,30.0693359375,123.8056640625,843.611328125,38.8056640625,-2.09765625,61.90234375,19.15234375,11.40283203125,75.40283203125,43.40283203125,24.8193359375,13.90234375
86.0,62.318359375,40.7353515625,168.7353515625,30.2353515625,124.6376953125,847.275390625,39.1376953125,-1.681640625,62.318359375,19.568359375,11.56884765625,75.56884765625,43.56884765625,25.2353515625,14.318359375
87.0,62.318359375,40.7353515625,168.7353515625,30.2353515625,124.6376953125,847.275390625,39.1376953125,-1.681640625,62.318359375,19.568359375,11.56884765625,75.56884765625,43.56884765625,25.2353515625,14.318359375
88.0,62.732421875,41.1494140625,169.1494140625,30.3994140625,125.4658203125,850.931640625,39.4658203125,-1.267578125,62.732421875,19.482421875,11.73291015625,75.73291015625,43.73291015625,25.6494140625,14.732421875
89.0,62.732421875,41.1494140625,169.1494140625,30.3994140625,125.4658203125,850.931640625,39.4658203125,-1.267578125,62.732421875,19.482421875,11.73291015625,75.73291015625,43.73291015625,25.6494140625,14.732421875
90.0,62.89453125,41.5615234375,169.5615234375,30.5615234375,126.2900390625,854.580078125,39.7900390625,-0.85546875,63.14453125,19.89453125,11.89501953125,75.89501953125,43.89501953125,26.0615234375,15.14453125
91.0,62.89453125,41.5615234375,169.5615234375,30.5615234375,126.2900390625,854.580078125,39.7900390625,-0.85546875,63.14453125,19.89453125,11.89501953125,75.89501953125,43.89501953125,26.0615234375,15.14453125
92.0,63.3046875,41.9716796875,169.9716796875,30.7216796875,127.1103515625,858.220703125,40.1103515625,-0.4453125,63.5546875,19.8046875,12.05517578125,76.05517578125,44.05517578125,26.4716796875,15.5546875
93.0,63.3046875,41.9716796875,169.9716796875,30.7216796875,127.1103515625,858.220703125,40.1103515625,-0.4453125,63.5546875,19.8046875,12.05517578125,76.05517578125,44.05517578125,26.4716796875,15.5546875
94.0,63.962890625,42.3798828125,170.3798828125,30.8798828125,127.9267578125,861.853515625,40.4267578125,-0.037109375,63.962890625,20.212890625,12.21337890625,76.21337890625,44.21337890625,26.8798828125,15.962890625
95.0,63.962890625,42.3798828125,170.3798828125,30.8798828125,127.9267578125,861.853515625,40.4267578125,-0.037109375,63.962890625,20.212890625,12.21337890625,76.21337890625,44.21337890625,26.8798828125,15.962890625
96.0,64.369140625,42.7861328125,170.7861328125,31.0361328125,128.7392578125,865.478515625,40.7392578125,0.369140625,64.369140625,20.119140625,12.36962890625,76.36962890625,44.36962890625,27.2861328125,16.369140625
97.0,64.369140625,42.7861328125,170.7861328125,31.0361328125,128.7392578125,865.478515625,40.7392578125,0.369140625,64.369140625,20.119140625,12.36962890625,76.36962890625,44.36962890625,27.2861328125,16.369140625
98.0,64.5234375,43.1904296875,171.1904296875,31.1904296875,129.5478515625,869.095703125,41.0478515625,0.7734375,64.7734375,20.5234375,12.52392578125,76.52392578125,44.52392578125,27.6904296875,16.7734375
99.0,64.5234375,43.1904296875,171.1904296875,31.1904296875,129.5478515625,869.095703125,41.0478515625,0.7734375,64.7734375,20.5234375,12.52392578125,76.52392578125,44.52392578125,27.6904296875,16.7734375
100.0,64.92578125,43.5927734375,171.5927734375,31.3427734375,130.3525390625,872.705078125,41.3525390625,1.17578125,65.17578125,20.42578125,12.67626953125,76.67626953125,44.67626953125,28.0927734375,17.17578125
101.0,64.92578125,43.5927734375,171.5927734375,31.3427734375,130.3525390625,872.705078125,41.3525390625,1.17578125,65.17578125,20.42578125,12.67626953125,76.67626953125,44.67626953125,28.0927734375,17.17578125
102.0,65.576171875,43.9931640625,171.9931640625,31.4931640625,131.1533203125,876.306640625,41.6533203125,1.576171875,65.576171875,20.826171875,12.82666015625,76.82666015625,44.82666015625,28.4931640625,17.576171875
103.0,65.576171875,43.9931640625,171.9931640625,31.4931640625,131.1533203125,876.306640625,41.6533203125,1.576171875,65.576171875,20.826171875,12.82666015625,76.82666015625,44.82666015625,28.4931640625,17.576171875
104.0,65.974609375,44.3916015625,172.3916015625,31.6416015625,131.9501953125,879.900390625,41.9501953125,1.974609375,65.974609375,20.724609375,12.97509765625,76.97509765625,44.97509765625,28.8916015625,17.974609375
105.0,65.974609375,44.3916015625,172.3916015625,31.6416015625,131.9501953125,879.900390625,41.9501953125,1.974609375,65.974609375,20.724609375,12.97509765625,76.97509765625,44.97509765625,28.8916015625,17.974609375
