D,E
0.0,42.65625
1.0,42.65625
2.0,46.53125
3.0,46.53125
4.0,50.28125
5.0,50.28125
6.0,53.90625
7.0,53.90625
8.0,57.40625
9.0,57.40625
10.0,60.78125
11.0,60.78125
12.0,64.03125
13.0,64.03125
14.0,67.15625
15.0,67.15625
16.0,70.15625
17.0,70.15625
18.0,73.03125
19.0,73.03125
20.0,75.78125
21.0,75.78125
22.0,78.40625
23.0,78.40625
24.0,80.90625
25.0,80.90625
26.0,83.28125
27.0,83.28125
28.0,85.53125
29.0,85.53125
30.0,87.65625
31.0,87.65625
32.0,89.65625
33.0,89.65625
34.0,91.53125
35.0,91.53125
36.0,93.28125
37.0,93.28125
38.0,94.90625
39.0,94.90625
40.0,96.40625
41.0,96.40625
42.0,97.78125
43.0,97.78125
44.0,99.03125
45.0,99.03125
46.0,100.15625
47.0,100.15625
48.0,101.15625
49.0,101.15625
50.0,102.03125
51.0,102.03125
52.0,102.78125
53.0,102.78125
54.0,103.40625
55.0,103.40625
56.0,103.90625
57.0,103.90625
58.0,104.28125
59.0,104.28125
60.0,104.53125
61.0,104.53125
62.0,104.65625
63.0,104.65625
