D,E
0.0,12.65625
1.0,12.15625
2.0,13.125
3.0,12.625
4.0,13.0625
5.0,12.5625
6.0,13.46875
7.0,12.96875
8.0,13.34375
9.0,12.84375
10.0,13.6875
11.0,13.1875
12.0,13.5
13.0,13.0
14.0,13.78125
15.0,13.28125
16.0,9.53125
17.0,9.03125
18.0,9.75
19.0,9.25
20.0,9.4375
21.0,8.9375
22.0,9.59375
23.0,9.09375
24.0,9.21875
25.0,8.71875
26.0,9.3125
27.0,8.8125
28.0,8.875
29.0,8.375
30.0,8.90625
31.0,8.40625
32.0,8.40625
33.0,8.90625
34.0,8.375
35.0,8.875
36.0,8.8125
37.0,9.3125
38.0,8.71875
39.0,9.21875
40.0,9.09375
41.0,9.59375
42.0,8.9375
43.0,9.4375
44.0,9.25
45.0,9.75
46.0,9.03125
47.0,9.53125
48.0,13.28125
49.0,13.78125
50.0,13.0
51.0,13.5
52.0,13.1875
53.0,13.6875
54.0,12.84375
55.0,13.34375
56.0,12.96875
57.0,13.46875
58.0,12.5625
59.0,13.0625
60.0,12.625
61.0,13.125
62.0,12.15625
63.0,12.65625
