D,E
0.0,0.40625
1.0,0.40625
2.0,0.875
3.0,0.875
4.0,0.8125
5.0,0.8125
6.0,1.21875
7.0,1.21875
8.0,1.09375
9.0,1.09375
10.0,1.4375
11.0,1.4375
12.0,1.25
13.0,1.25
14.0,1.53125
15.0,1.53125
16.0,1.28125
17.0,1.28125
18.0,1.5
19.0,1.5
20.0,1.1875
21.0,1.1875
22.0,1.34375
23.0,1.34375
24.0,0.96875
25.0,0.96875
26.0,1.0625
27.0,1.0625
28.0,0.625
29.0,0.625
30.0,0.65625
31.0,0.65625
32.0,0.65625
33.0,0.65625
34.0,0.625
35.0,0.625
36.0,1.0625
37.0,1.0625
38.0,0.96875
39.0,0.96875
40.0,1.34375
41.0,1.34375
42.0,1.1875
43.0,1.1875
44.0,1.5
45.0,1.5
46.0,1.28125
47.0,1.28125
48.0,1.53125
49.0,1.53125
50.0,1.25
51.0,1.25
52.0,1.4375
53.0,1.4375
54.0,1.09375
55.0,1.09375
56.0,1.21875
57.0,1.21875
58.0,0.8125
59.0,0.8125
60.0,0.875
61.0,0.875
62.0,0.40625
63.0,0.40625
