D,E
0.0,1.328125
1.0,1.328125
2.0,1.546875
3.0,1.546875
4.0,1.734375
5.0,1.734375
6.0,1.890625
7.0,1.890625
8.0,2.015625
9.0,2.015625
10.0,2.109375
11.0,2.109375
12.0,2.171875
13.0,2.171875
14.0,2.203125
15.0,2.203125
16.0,2.203125
17.0,2.203125
18.0,2.171875
19.0,2.171875
20.0,2.109375
21.0,2.109375
22.0,2.015625
23.0,2.015625
24.0,1.890625
25.0,1.890625
26.0,1.734375
27.0,1.734375
28.0,1.546875
29.0,1.546875
30.0,1.328125
31.0,1.328125
32.0,1.328125
33.0,1.328125
34.0,1.546875
35.0,1.546875
36.0,1.734375
37.0,1.734375
38.0,1.890625
39.0,1.890625
40.0,2.015625
41.0,2.015625
42.0,2.109375
43.0,2.109375
44.0,2.171875
45.0,2.171875
46.0,2.203125
47.0,2.203125
48.0,2.203125
49.0,2.203125
50.0,2.171875
51.0,2.171875
52.0,2.109375
53.0,2.109375
54.0,2.015625
55.0,2.015625
56.0,1.890625
57.0,1.890625
58.0,1.734375
59.0,1.734375
60.0,1.546875
61.0,1.546875
62.0,1.328125
63.0,1.328125
